id,file,name,year,doi,transmission_1,transmission_2,disease,stochasticity,model_1,model_2,model_3,behavior_1,behavior_2,behavior_3
id_old_001,scholar_1,optimal bed net use for a dengue disease model with mosquito seasonal pattern,2017,10.1002/mma.4629,vector,,dengue,deterministic,ode,pde,,protection,,
id_old_001,scholar_2,transmission and control of plasmodium knowlesi: a mathematical modelling study,2014,10.1371/journal.pntd.0002978,vector,,malaria,deterministic,ode,,,protection,movement,
id_old_002,scholar_13,understanding dengue control for short- and long-term intervention with a mathematical model approach,2018,10.1155/2018/9674138,vector,,dengue,deterministic,ode,,,vaccination,protection,
id_old_003,scholar_15,stability analysis and optimal control of a vector-borne disease with nonlinear incidence,2012,10.1155/2012/595487,vector,,vector-borne,deterministic,ode,,,control,,
id_old_004,scholar_16,man bites mosquito: understanding the contribution of human movement to vector-borne disease dynamics,2009,doi:10.1371/journal.pone.0006763,vector,,vector-borne,stochastic,network,,,movement,,
id_old_005,scholar_19,personal protective strategies for dengue disease: simulations in two coexisting virus serotypes scenarios,2021,10.1016/j.matcom.2021.04.002,vector,,dengue,deterministic,ode,,,protection,information,
id_old_006,scholar_27,a generic model for a single strain mosquito-transmitted disease with memory on the host and the vector,2015,10.1016/j.mbs.2015.01.009,vector,,vector-borne,deterministic,ode,,,memory,,
id_old_007,scholar_20,potential causes and consequences of behavioural resilience and resistance in malaria vector populations: a mathematical modelling analysis,2014,10.1186/1475-2875-13-97,vector,,malaria,deterministic,ode,,,protection,,
id_old_008,scholar_21,a mathematical model of dengue transmission with memory,2014,10.1016/j.cnsns.2014.08.009,vector,,dengue,deterministic,ode,,,memory,,
id_old_011,scholar_7,contrasting the value of targeted versus area- wide mosquito control scenarios to limit arbovirus transmission with human mobility patterns based on different tropical urban population centers,2019,10.1371/journal.pntd.0007479,vector,,arbovirus,stochastic,network,,,movement,information,
id_old_012,scholar_34,a network-patch methodology for adapting agent- based models for directly transmitted disease to mosquito-borne disease,2015,10.1080/17513758.2015.1005698,vector,,vector-borne,both,network,ode,abm,movement,,
id_old_013,scholar_41,the game-theoretical model of using insecticide-treated bed-nets to fight malaria,2016,10.4236/am.2016.79076,vector,,malaria,deterministic,ode,,,protection,,
id_old_014,scholar_42,disease-driven reduction in human mobility influences human-mosquito contacts and dengue transmission dynamics,2021,10.1371/journal.pcbi.1008627,vector,,dengue,stochastic,network,,,movement,,
id_old_015,scholar_44,"global dynamics and optimal control of multi-age structured vector disease model with vaccination, relapse and general incidence",2023,10.1007/s12346-022-00724-5,vector,,vector-borne,deterministic,ode,ode,,vaccination,,
id_old_016,scholar_47,erlang-distributed seir epidemic models with cross-diffusion,2023,10.3390/math11092167,human,,vector-borne,both,ode,ode,,movement,,
id_old_017,scholar_5,"a stage-structured stochastic model of the population dynamics of triatoma infestans, the main vector of chagas disease",2003,10.1016/s0304-3800(02)00388-5,vector,,chagas,stochastic,mc,,,irritability,,
