id,name,year,doi,transmission_1,transmission_2,model_1,model_2,methodology_1,methodology_2,methodology_3,behavior_1,behavior_2,behavior_3,data
scopus_1,a statistical examination of distinct characteristics influencing the performance of vector-borne epidemiological agent-based simulation models,2021,10.3390/modelling2020009,vector,,deterministic,stochastic,odes,,,caution,,,no
scopus_2,modeling approach influences dynamics of a vector-borne pathogen system,2019,10.1007/s11538-019-00595-z,vector,,deterministic,stochastic,odes,ibm,,movement,,,no
scopus_3,fractional dynamics of vector-borne infection with sexual transmission rate and vaccination,2021,10.3390/math9233118,vector,,fractional,,fdes,,,,,,no
scopus_4,modeling the spread of zika virus in a stage-structured population: effect of sexual transmission,2018,10.1007/s11538-018-0510-7,vector,,deterministic,,odes,mcmc,,sexual_behavior,,,yes
scopus_5,optimal control strategies of a fractional order model for zika virus infection involving various transmissions,2021,10.1016/j.chaos.2021.110864,vector,,fractional,,fdes,,,control,protection,sexual_behavior,no
scopus_6,human behaviors: a threat to mosquito control?,2016,10.1016/j.mbs.2016.08.011,vector,,deterministic,,odes,hbm,,control,,,no
scopus_7,atangana-baleanu fractional dynamics of dengue fever with optimal control strategies,2023,10.3934/math.2023791,vector,,fractional,,fdes,,,protection,,,no
scopus_8,computational study of fractional-order vector-borne diseases model,2022,10.1142/s0218348x22401491,vector,,fractional,,fdes,,,,,,no
scopus_9,modeling approach influences dynamics of a vector-borne pathogen system,2019,10.1007/s11538-019-00595-z,vector,,deterministic,stochastic,odes,ibm,,movement,,,no
scopus_10,human behaviors: a threat to mosquito control?,2016,10.1016/j.mbs.2016.08.011,vector,,deterministic,,odes,hbm,,control,,,no
scopus_11,a statistical examination of distinct characteristics influencing the performance of vector-borne epidemiological agent-based simulation models,2021,10.3390/modelling2020009,vector,,deterministic,stochastic,odes,,,caution,,,no
scopus_12,modeling and stability analysis of the transmission dynamics of monkeypox with control intervention,2024,10.1016/j.padiff.2024.100730,human,zoonotic,deterministic,,odes,pdes,,protection,,,no
